"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 16:02:56 GMT 2024","Thu Apr 18 16:02:57 GMT 2024","705","Delete user","","","","","Delete user - sucess",""
"passed","Thu Apr 18 16:02:56 GMT 2024","Thu Apr 18 16:02:56 GMT 2024","411","Update user details","","","","","Update user details - sucess",""
"passed","Thu Apr 18 16:02:55 GMT 2024","Thu Apr 18 16:02:56 GMT 2024","802","Create a new user","","","","","Create a new user - sucess",""
