"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 16:29:07 GMT 2024","Thu Apr 18 16:29:07 GMT 2024","410","Update user details","","","","","Update user details - sucess",""
"passed","Thu Apr 18 16:29:07 GMT 2024","Thu Apr 18 16:29:08 GMT 2024","721","Delete user","","","","","Delete user - sucess",""
"passed","Thu Apr 18 16:29:06 GMT 2024","Thu Apr 18 16:29:07 GMT 2024","1315","Create a new user","","","","","Create a new user - sucess",""
