"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 19 14:49:45 GMT 2024","Fri Apr 19 14:49:45 GMT 2024","375","Update user details","","","","","Update user details - sucess",""
"passed","Fri Apr 19 14:49:45 GMT 2024","Fri Apr 19 14:49:46 GMT 2024","731","Delete user","","","","","Delete user - sucess",""
"passed","Fri Apr 19 14:49:44 GMT 2024","Fri Apr 19 14:49:45 GMT 2024","1331","Create a new user","","","","","Create a new user - sucess",""
