"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 19 14:44:18 GMT 2024","Fri Apr 19 14:44:19 GMT 2024","755","Create a new user","","","","","Create a new user - sucess",""
"passed","Fri Apr 19 14:44:19 GMT 2024","Fri Apr 19 14:44:19 GMT 2024","332","Update user details","","","","","Update user details - sucess",""
"passed","Fri Apr 19 14:44:19 GMT 2024","Fri Apr 19 14:44:20 GMT 2024","675","Delete user","","","","","Delete user - sucess",""
