"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","745","should delete the user successfully","User API - Delete","Tue Nov 04 23:23:26 UTC 2025","passed","Tue Nov 04 23:23:27 UTC 2025","","","",""
"","511","should create a new user successfully","User API - Create","Tue Nov 04 23:23:24 UTC 2025","passed","Tue Nov 04 23:23:24 UTC 2025","","","",""
"","383","should update user email successfully","User API - Update","Tue Nov 04 23:23:29 UTC 2025","passed","Tue Nov 04 23:23:29 UTC 2025","","","",""
