"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 16:02:24 GMT 2024","Thu Apr 18 16:02:24 GMT 2024","672","Delete user","","","","","Delete user - sucess",""
"passed","Thu Apr 18 16:02:23 GMT 2024","Thu Apr 18 16:02:24 GMT 2024","360","Update user details","","","","","Update user details - sucess",""
"passed","Thu Apr 18 16:02:23 GMT 2024","Thu Apr 18 16:02:23 GMT 2024","694","Create a new user","","","","","Create a new user - sucess",""
