"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 16:07:33 GMT 2024","Thu Apr 18 16:07:33 GMT 2024","701","Create a new user","","","","","Create a new user - sucess",""
"passed","Thu Apr 18 16:07:33 GMT 2024","Thu Apr 18 16:07:34 GMT 2024","338","Update user details","","","","","Update user details - sucess",""
"passed","Thu Apr 18 16:07:34 GMT 2024","Thu Apr 18 16:07:34 GMT 2024","692","Delete user","","","","","Delete user - sucess",""
