"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 19 03:00:26 GMT 2024","Fri Apr 19 03:00:26 GMT 2024","326","Update user details","","","","","Update user details - sucess",""
"passed","Fri Apr 19 03:00:26 GMT 2024","Fri Apr 19 03:00:27 GMT 2024","600","Delete user","","","","","Delete user - sucess",""
"passed","Fri Apr 19 03:00:25 GMT 2024","Fri Apr 19 03:00:26 GMT 2024","735","Create a new user","","","","","Create a new user - sucess",""
