"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","387","should update user email successfully","User API - Update","Tue Nov 04 23:27:11 UTC 2025","passed","Tue Nov 04 23:27:12 UTC 2025","","","",""
"","743","should delete the user successfully","User API - Delete","Tue Nov 04 23:27:09 UTC 2025","passed","Tue Nov 04 23:27:09 UTC 2025","","","",""
"","521","should create a new user successfully","User API - Create","Tue Nov 04 23:27:06 UTC 2025","passed","Tue Nov 04 23:27:07 UTC 2025","","","",""
