"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 16:23:11 GMT 2024","Thu Apr 18 16:23:12 GMT 2024","740","Delete user","","","","","Delete user - sucess",""
"passed","Thu Apr 18 16:23:09 GMT 2024","Thu Apr 18 16:23:10 GMT 2024","1362","Create a new user","","","","","Create a new user - sucess",""
"passed","Thu Apr 18 16:23:11 GMT 2024","Thu Apr 18 16:23:11 GMT 2024","390","Update user details","","","","","Update user details - sucess",""
