"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 19 15:00:46 GMT 2024","Fri Apr 19 15:00:46 GMT 2024","681","Delete user","","","","","Delete user - sucess",""
"passed","Fri Apr 19 15:00:45 GMT 2024","Fri Apr 19 15:00:46 GMT 2024","415","Update user details","","","","","Update user details - sucess",""
"passed","Fri Apr 19 15:00:44 GMT 2024","Fri Apr 19 15:00:45 GMT 2024","784","Create a new user","","","","","Create a new user - sucess",""
