"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 16:05:45 GMT 2024","Thu Apr 18 16:05:46 GMT 2024","646","Delete user","","","","","Delete user - sucess",""
"passed","Thu Apr 18 16:05:43 GMT 2024","Thu Apr 18 16:05:45 GMT 2024","1267","Create a new user","","","","","Create a new user - sucess",""
"passed","Thu Apr 18 16:05:45 GMT 2024","Thu Apr 18 16:05:45 GMT 2024","324","Update user details","","","","","Update user details - sucess",""
