"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 16:27:55 GMT 2024","Thu Apr 18 16:27:55 GMT 2024","343","Update user details","","","","","Update user details - sucess",""
"passed","Thu Apr 18 16:27:55 GMT 2024","Thu Apr 18 16:27:56 GMT 2024","651","Delete user","","","","","Delete user - sucess",""
"passed","Thu Apr 18 16:27:53 GMT 2024","Thu Apr 18 16:27:55 GMT 2024","1230","Create a new user","","","","","Create a new user - sucess",""
