"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 16:27:13 GMT 2024","Thu Apr 18 16:27:14 GMT 2024","1264","Create a new user","","","","","Create a new user - sucess",""
"passed","Thu Apr 18 16:27:14 GMT 2024","Thu Apr 18 16:27:14 GMT 2024","330","Update user details","","","","","Update user details - sucess",""
"passed","Thu Apr 18 16:27:14 GMT 2024","Thu Apr 18 16:27:15 GMT 2024","627","Delete user","","","","","Delete user - sucess",""
