"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 19 02:59:45 GMT 2024","Fri Apr 19 02:59:45 GMT 2024","763","Create a new user","","","","","Create a new user - sucess",""
"passed","Fri Apr 19 02:59:46 GMT 2024","Fri Apr 19 02:59:47 GMT 2024","673","Delete user","","","","","Delete user - sucess",""
"passed","Fri Apr 19 02:59:46 GMT 2024","Fri Apr 19 02:59:46 GMT 2024","360","Update user details","","","","","Update user details - sucess",""
