"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 15:33:08 GMT 2024","Thu Apr 18 15:33:09 GMT 2024","670","Delete user","","","","","Delete user - sucess",""
"passed","Thu Apr 18 15:33:07 GMT 2024","Thu Apr 18 15:33:08 GMT 2024","1200","Create a new user","","","","","Create a new user - sucess",""
"passed","Thu Apr 18 15:33:08 GMT 2024","Thu Apr 18 15:33:08 GMT 2024","340","Update user details","","","","","Update user details - sucess",""
