"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 15:58:27 GMT 2024","Thu Apr 18 15:58:28 GMT 2024","1316","Create a new user","","","","","Create a new user - sucess",""
"passed","Thu Apr 18 15:58:29 GMT 2024","Thu Apr 18 15:58:30 GMT 2024","709","Delete user","","","","","Delete user - sucess",""
"passed","Thu Apr 18 15:58:28 GMT 2024","Thu Apr 18 15:58:29 GMT 2024","398","Update user details","","","","","Update user details - sucess",""
